titel,artiest,jaar,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,title,artist,track_id,artist_id,album_id,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
Bohemian Rhapsody,Queen,1975,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,Bohemian Rhapsody - 2011 Mix,Queen,spotify:track:7tFiyTwD0nx5a1eklYtX2J,spotify:artist:1dfeR4HaWDbWqFHLkxsg1d,spotify:album:6X9k3hSsvQck2OfKYdBbXr,0.288,0.392,0.402,0.0,0.243,-9.961,0.0536,143.883,0.228,74.0
Hotel California,Eagles,1977,2.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,Hotel California - 2013 Remaster,Eagles,spotify:track:40riOy7x9W7GXjyGp4pjAv,spotify:artist:0ECwFtbIWEVNwjlrfc6xoL,spotify:album:2widuo17g5CEC66IbzveRu,0.00574,0.579,0.508,0.000494,0.0575,-9.484,0.027,147.125,0.609,81.0
Child In Time,Deep Purple,1972,3.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,8.0,5.0,5.0,6.0,,Child in Time,Deep Purple,spotify:track:5TrfusgKC1BYic5LaWCoKm,spotify:artist:568ZhdwyaiCyOGJRtNYhWf,spotify:album:3llL1qaL2RvtyQAthAuRFS,0.17,0.338,0.461,0.564,0.0927,-10.74,0.0396,126.698,0.351,43.0
Stairway To Heaven,Led Zeppelin,1971,4.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,3.0,3.0,5.0,3.0,3.0,4.0,5.0,Stairway to Heaven - Remaster,Led Zeppelin,spotify:track:5CQ30WqJwcep0pYcV4AMNc,spotify:artist:36QJpDe2go2KgaRleHCDTp,spotify:album:44Ig8dzqOkvkGDzaUof9lK,0.58,0.338,0.34,0.0032,0.116,-12.049,0.0339,82.433,0.197,77.0
Paradise By The Dashboard Light,Meat Loaf,1978,5.0,5.0,5.0,5.0,5.0,6.0,6.0,7.0,10.0,6.0,12.0,9.0,11.0,19.0,22.0,17.0,30.0,27.0,27.0,29.0,35.0,Paradise By the Dashboard Light,Meat Loaf,spotify:track:2g7gviEeJr6pyxO7G35EWQ,spotify:artist:7dnB1wSxbYa8CejeVg98hz,spotify:album:6mvI80w5r78niBmwtu7RF9,0.214,0.326,0.872,0.0,0.461,-7.602,0.122,173.381,0.492,65.0
Yesterday,The Beatles,1965,6.0,8.0,24.0,30.0,34.0,37.0,46.0,39.0,32.0,28.0,44.0,33.0,50.0,85.0,76.0,89.0,96.0,97.0,87.0,122.0,94.0,Yesterday - Remastered 2009,The Beatles,spotify:track:3BQHpFgAp4l80e1XslIjNI,spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,spotify:album:0PT5m6hwPRrpBwIHVnvbFX,0.879,0.332,0.179,0.0,0.0886,-11.83,0.0326,96.529,0.315,77.0
Imagine,John Lennon,1971,7.0,7.0,11.0,11.0,13.0,9.0,15.0,15.0,41.0,15.0,41.0,26.0,28.0,22.0,23.0,38.0,1.0,12.0,16.0,16.0,29.0,Imagine - Remastered,John Lennon,spotify:track:7pKfPomDEeI4TPT6EOYjn9,spotify:artist:4x1nvY2FN8jxqAFA0DA02H,spotify:album:0xzaemKucrJpYhyl7TltAk,0.907,0.547,0.257,0.183,0.0935,-12.358,0.0252,75.752,0.169,76.0
Angie,The Rolling Stones,1973,8.0,9.0,22.0,12.0,10.0,13.0,18.0,21.0,45.0,20.0,36.0,35.0,41.0,26.0,46.0,54.0,77.0,78.0,70.0,79.0,90.0,Angie,The Rolling Stones,spotify:track:1GcVa4jFySlun4jLSuMhiq,spotify:artist:22bE4uQ6baNwSHPVcDxLCe,spotify:album:6iVOz2hudE6dv5Yrcsw2c9,0.67,0.429,0.554,0.000152,0.105,-6.128,0.0291,136.302,0.407,70.0
Bridge Over Troubled Water,Simon & Garfunkel,1970,9.0,27.0,17.0,32.0,32.0,45.0,42.0,43.0,66.0,43.0,39.0,32.0,33.0,38.0,38.0,48.0,59.0,52.0,58.0,61.0,82.0,Cecilia,Simon & Garfunkel,spotify:track:6QhXQOpyYvbpdbyjgAqKdY,spotify:artist:70cRZdQywnSFp9pnc2WTCE,spotify:album:0JwHz5SSvpYWuuCNbtYZoV,0.357,0.755,0.876,5.17e-06,0.22,-8.867,0.0362,102.762,0.954,72.0
A Whiter Shade Of Pale,Procol Harum,1967,10.0,18.0,23.0,20.0,22.0,28.0,22.0,25.0,47.0,26.0,50.0,42.0,65.0,61.0,83.0,98.0,105.0,119.0,117.0,153.0,162.0,A Whiter Shade of Pale (Procol Harum),Michael Marc,spotify:track:1s827ACQmF5fPdZeNqVeKA,spotify:artist:3fcQI5iYhwISYHwUf3G4Ok,spotify:album:4fVss16qeptLgMiAuZCK1o,0.93,0.59,0.13,0.74,0.121,-13.546,0.0545,77.713,0.528,22.0
Hey Jude,The Beatles,1968,11.0,6.0,9.0,15.0,18.0,18.0,14.0,22.0,18.0,16.0,23.0,24.0,24.0,33.0,45.0,58.0,48.0,39.0,61.0,70.0,72.0,Hey Jude - Remastered 2015,The Beatles,spotify:track:0aym2LBJBk9DAYuHHutrIl,spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,spotify:album:7vEJAtP3KgKSpOHVgwm3Eh,0.0112,0.386,0.607,1.38e-05,0.088,-7.7,0.0261,147.207,0.532,76.0
Riders On The Storm,The Doors,1971,12.0,14.0,12.0,10.0,12.0,16.0,24.0,26.0,33.0,22.0,26.0,27.0,23.0,32.0,30.0,40.0,49.0,46.0,49.0,58.0,75.0,Riders on the Storm [Riders on the Storm - The Doors Concerto],Nigel Kennedy,spotify:track:2PDJMbjCieq3UOmSF7CUZS,spotify:artist:7AANfmLM36QqH6QsOQnV3h,spotify:album:74bv4YKfSdB4hT4AxJ9Qxz,0.801,0.489,0.447,0.528,0.11,-11.295,0.0334,120.032,0.402,33.0
