titel,artiest,jaar,id,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Bohemian Rhapsody,Queen,1975,7tFiyTwD0nx5a1eklYtX2J,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1
Hotel California,Eagles,1977,40riOy7x9W7GXjyGp4pjAv,2,4,3,3,2,2,3,3,3,2,2,1,2,2,2,1,3,2,2,2,2
Child In Time,Deep Purple,1972,5TrfusgKC1BYic5LaWCoKm,3,2,2,2,3,3,4,4,4,4,5,4,3,4,4,4,8,5,5,6,12
Stairway To Heaven,Led Zeppelin,1971,5CQ30WqJwcep0pYcV4AMNc,4,3,4,4,4,4,5,5,5,5,4,5,5,3,3,3,5,3,3,4,5
Paradise By The Dashboard Light,Meat Loaf,1978,2g7gviEeJr6pyxO7G35EWQ,5,5,5,5,5,6,6,7,10,6,12,9,11,19,22,17,30,27,27,29,35
Paradise By The Dashboard Light,Meat Loaf,1978,2g7gviEeJr6pyxO7G35EWQ,5,5,5,5,5,6,6,7,10,6,12,9,11,19,22,17,30,27,27,29,363
Bat Out Of Hell,Meat Loaf,1977,2g7gviEeJr6pyxO7G35EWQ,,,,,,,,252,337,644,340,280,285,228,310,309,256,321,332,352,35
Bat Out Of Hell,Meat Loaf,1977,2g7gviEeJr6pyxO7G35EWQ,,,,,,,,252,337,644,340,280,285,228,310,309,256,321,332,352,363
Yesterday,Beatles,1965,3BQHpFgAp4l80e1XslIjNI,6,8,24,30,34,37,46,39,32,28,44,33,50,85,76,89,96,97,87,122,94
Imagine,John Lennon,1971,7pKfPomDEeI4TPT6EOYjn9,7,7,11,11,13,9,15,15,41,15,41,26,28,22,23,38,1,12,16,16,29
Angie,Rolling Stones,1973,1GcVa4jFySlun4jLSuMhiq,8,9,22,12,10,13,18,21,45,20,36,35,41,26,46,54,77,78,70,79,90
Bridge Over Troubled Water,Simon & Garfunkel,1970,6QhXQOpyYvbpdbyjgAqKdY,9,27,17,32,32,45,42,43,66,43,39,32,33,38,38,48,59,52,58,61,82
Bridge Over Troubled Water,Simon & Garfunkel,1970,6QhXQOpyYvbpdbyjgAqKdY,9,27,17,32,32,45,42,43,66,43,39,32,33,38,38,48,59,52,58,61,1392
Cecilia,Simon & Garfunkel,1970,6QhXQOpyYvbpdbyjgAqKdY,776,1311,730,1206,1390,1219,1011,1195,1470,1220,1232,1246,1167,1114,1241,1396,1562,1437,1470,1539,82
Cecilia,Simon & Garfunkel,1970,6QhXQOpyYvbpdbyjgAqKdY,776,1311,730,1206,1390,1219,1011,1195,1470,1220,1232,1246,1167,1114,1241,1396,1562,1437,1470,1539,1392
A Whiter Shade Of Pale,Procol Harum,1967,1s827ACQmF5fPdZeNqVeKA,10,18,23,20,22,28,22,25,47,26,50,42,65,61,83,98,105,119,117,153,162
Hey Jude,Beatles,1968,0aym2LBJBk9DAYuHHutrIl,11,6,9,15,18,18,14,22,18,16,23,24,24,33,45,58,48,39,61,70,72
Riders On The Storm,Doors,1971,14XWXWv5FoCbFzLksawpEe,12,14,12,10,12,16,24,26,33,22,26,27,23,32,30,40,49,46,49,58,503
House Of The Rising Sun,Animals,1964,7BY005dacJkbO6EPiOh2wb,13,12,6,6,7,8,8,12,7,7,29,18,25,51,55,78,84,71,77,86,103
Goodnight Saigon,Billy Joel,1983,5bIwtIednTXz7BHnnoQN06,14,11,8,18,25,22,34,51,38,32,53,38,62,80,90,83,79,77,81,93,101
Nights In White Satin,Moody Blues,1968,6L5BZEcZmD6RBJnimzlyKr,15,25,29,23,28,33,35,23,50,31,42,41,45,65,68,76,102,122,124,111,128
Dancing Queen,ABBA,1976,4NtUY5IGzHCaqfZemmAu56,16,30,28,41,46,42,36,49,29,37,70,68,88,111,160,127,155,131,92,67,68
Another Brick In The Wall,Pink Floyd,1979,4gMgiXfqyzZLMhsksGmbQV,17,20,20,26,39,32,52,46,86,45,56,47,53,39,48,56,72,66,90,54,69
Sunday Bloody Sunday,U2,1985,6C4LXC9UFH1IKiHYOp0BiJ,18,13,31,24,37,29,39,41,65,41,57,55,66,55,62,62,57,49,47,69,61
Music,John Miles,1976,5K5Qrn36xqKSnF6WHPTN0h,19,39,32,37,36,67,75,65,76,56,111,122,123,113,129,116,135,170,187,209,205
Sultans Of Swing,Dire Straits,1978,6cr6UDpkjEaMQ80OjWqEBQ,20,16,10,16,15,27,28,27,28,23,32,25,30,28,21,27,25,26,26,20,26
Tears In Heaven,Eric Clapton,1992,1x2jMVLFjJGXILzK3dQ0KR,21,31,35,34,43,40,41,44,46,36,60,50,44,77,65,73,83,83,75,78,91
(I Can't Get No) Satisfaction,Rolling Stones,1965,2PzU4IB8Dr6mxV3lHuaG34,22,46,102,75,81,82,123,122,164,116,157,181,216,93,225,238,236,294,305,304,284
Radar Love,Golden Earring,1973,4Zau4QvgyxWiWQ5KQrwL43,23,21,21,27,27,12,13,16,23,17,24,16,18,18,24,26,31,22,21,27,23
Old And Wise,Alan Parsons Project,1982,5Jt2AQv1c3RUF5ENtAYF1i,24,28,13,8,9,11,9,11,9,8,18,10,20,21,31,28,37,37,35,65,76
Losing My Religion,R.E.M.,1991,31AOj9sFz2gM0O3hMARRBx,25,15,37,42,33,46,76,79,132,60,67,83,68,118,111,126,112,80,73,84,112
School,Supertramp,1974,6fnachl7fIn5dqIjakfJ57,26,17,16,14,21,34,37,36,52,33,46,44,37,35,37,41,52,48,44,44,41
