titel,artiest,jaar,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,id
Bohemian Rhapsody,Queen,1975,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,7tFiyTwD0nx5a1eklYtX2J
Hotel California,Eagles,1977,2.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,40riOy7x9W7GXjyGp4pjAv
Child In Time,Deep Purple,1972,3.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,8.0,5.0,5.0,6.0,5TrfusgKC1BYic5LaWCoKm
Stairway To Heaven,Led Zeppelin,1971,4.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,3.0,3.0,5.0,3.0,3.0,4.0,5CQ30WqJwcep0pYcV4AMNc
Paradise By The Dashboard Light,Meat Loaf,1978,5.0,5.0,5.0,5.0,5.0,6.0,6.0,7.0,10.0,6.0,12.0,9.0,11.0,19.0,22.0,17.0,30.0,27.0,27.0,29.0,2g7gviEeJr6pyxO7G35EWQ
Yesterday,Beatles,1965,6.0,8.0,24.0,30.0,34.0,37.0,46.0,39.0,32.0,28.0,44.0,33.0,50.0,85.0,76.0,89.0,96.0,97.0,87.0,122.0,3BQHpFgAp4l80e1XslIjNI
Imagine,John Lennon,1971,7.0,7.0,11.0,11.0,13.0,9.0,15.0,15.0,41.0,15.0,41.0,26.0,28.0,22.0,23.0,38.0,1.0,12.0,16.0,16.0,7pKfPomDEeI4TPT6EOYjn9
Angie,Rolling Stones,1973,8.0,9.0,22.0,12.0,10.0,13.0,18.0,21.0,45.0,20.0,36.0,35.0,41.0,26.0,46.0,54.0,77.0,78.0,70.0,79.0,1GcVa4jFySlun4jLSuMhiq
Bridge Over Troubled Water,Simon & Garfunkel,1970,9.0,27.0,17.0,32.0,32.0,45.0,42.0,43.0,66.0,43.0,39.0,32.0,33.0,38.0,38.0,48.0,59.0,52.0,58.0,61.0,6l8EbYRtQMgKOyc1gcDHF9
A Whiter Shade Of Pale,Procol Harum,1967,10.0,18.0,23.0,20.0,22.0,28.0,22.0,25.0,47.0,26.0,50.0,42.0,65.0,61.0,83.0,98.0,105.0,119.0,117.0,153.0,78ZqE2tjAxbqEGGlvGnQfT
