2019,titel,artiest,jaar,id
1,Bohemian Rhapsody,Queen,1975,7tFiyTwD0nx5a1eklYtX2J
2,Hotel California,Eagles,1977,40riOy7x9W7GXjyGp4pjAv
3,Piano Man,Billy Joel,1974,70C4NyhjD5OZUMzvWZ3njJ
4,Roller Coaster,Danny Vera,2019,7rO7Pc5dkC2EIW1OKsCJtQ
5,Stairway To Heaven,Led Zeppelin,1971,5CQ30WqJwcep0pYcV4AMNc
6,Avond,Boudewijn de Groot,1997,5Gc1NPkUBjkARUkH1Giwvh
7,Black,Pearl Jam,1992,5Xak5fmy089t0FYmh3VJiY
8,Fix You,Coldplay,2005,7LVHVU3tWfcxj5aiPFEW4Q
9,De Boer Dat Is De Keerl,Normaal,1993,5cxMPPx4kQSAic9lFGHJY9
10,Wish You Were Here,Pink Floyd,1975,6mFkJmJqdDVQ1REhVfGgd1
11,Africa,Toto,1982,2374M0fQpWi3dLnB54qaLX
12,Child In Time,Deep Purple,1970,5TrfusgKC1BYic5LaWCoKm
13,Love Of My Life,Queen,1975,790YJcgHlN3SaosQCHlWzn
14,November Rain,Guns N' Roses,1992,3YRCqOhFifThpSRFJ1VWFM
15,Nothing Else Matters,Metallica,1992,10igKaIKsSB6ZnWxPxPvKO
16,Comfortably Numb,Pink Floyd,1979,5HNCy40Ni5BZJFw1TKzRsC
17,Brothers In Arms,Dire Straits,1985,26tWBbtjvgi0tipRL2VQ2X
18,The Sound Of Silence,Disturbed,2016,1Cj2vqUwlJVG27gJrun92y
19,The River,Bruce Springsteen,1981,7HrzErXq3TsKOY1gmdIShB
20,Thunderstruck,AC/DC,1990,57bgtoPSgt236HzfBOd8kj
21,One,Metallica,1994,0LAcM6I7ijW4VVW0aytl1t
22,Shine On You Crazy Diamond (Pts. 1-5),Pink Floyd,1975,6pnwfWyaWjQiHCKTiZLItr
23,Radar Love,Golden Earring,1973,4Zau4QvgyxWiWQ5KQrwL43
24,Purple Rain,Prince & The Revolution,1984,5dYJT6qthbXYz2A1tanERP
25,Het Dorp,Wim Sonneveld,1974,4HWOyz21zZDbHe3mMukrFJ
26,Sultans Of Swing,Dire Straits,1978,6cr6UDpkjEaMQ80OjWqEBQ
27,Heroes,David Bowie,1976,7Jh1bpe76CNTCgdgAdBw4Z
28,The Sound Of Silence,Simon & Garfunkel,1966,5y788ya4NvwhBznoDIcXwK
29,Imagine,John Lennon,1971,7pKfPomDEeI4TPT6EOYjn9
30,Over De Muur,Klein Orkest,1984,2jV28FCpmVQNbgcC5a5D7A
31,Hurt,Johnny Cash,2002,28cnXtME493VX9NOw9cIUh
32,Sweet Child O' Mine,Guns N' Roses,1987,7snQQk1zcKl8gZ92AnueZW
33,Just Breathe,Pearl Jam,2009,6i81qFkru6Kj1IEsB7KNp2
34,Oceaan,Racoon,2012,3yA0XFSeJT1F0VVdDwbP5O
35,Paradise By The Dashboard Light,Meat Loaf,1978,2g7gviEeJr6pyxO7G35EWQ
36,Viva La Vida,Coldplay,2008,1mea3bSkSGXuIRvnydlB5b
37,Smells Like Teen Spirit,Nirvana,1991,5ghIJDpPoe3CfHMGu71E6T
38,Mag Ik Dan Bij Jou,Claudia de Breij,2011,0iYDkElqY6uu0aw8CzOttm
39,Innuendo,Queen,1991,4bmak6Hd7NPwVrY26TjKNT
40,Telegraph Road,Dire Straits,1982,071BtONQBIq4SkvO0okS4k
41,School,Supertramp,1974,6fnachl7fIn5dqIjakfJ57
42,Somebody To Love,Queen,1976,6cFZ4PLC19taNlpl9pbGMf
43,Go Your Own Way,Fleetwood Mac,1977,4xh7W7tlNMIczFhupCPniY
44,A Forest,The Cure,1980,3O4TPMOgChXOerSdB5WENH
45,Shallow,Lady Gaga & Bradley Cooper,2018,2VxeLyX666F8uXCJ0dZF8B
46,The Scientist,Coldplay,2002,75JFxkI2RXiU7L9VXzMkle
47,Paint It Black,The Rolling Stones,1966,63T7DJ1AFDD6Bn8VzG6JE8
48,In The Air Tonight,Phil Collins,1981,18AXbzPzBS8Y3AkgSxzJPb
49,Don't Stop Me Now,Queen,1979,7hQJA50XrCWABAu5v6QZ4i
50,Brabant,Guus Meeuwis,2003,0GiWi4EkPduFWHQyhiKpRB
51,Zoutelande,Bløf ft. Geike,2017,6aAJY5FYW0TMLsUe2T7x4p
52,In The End,Linkin Park,2000,60a0Rd6pjrkxjPbaKzXjfq
53,Let It Be,The Beatles,1970,7iN1s7xHE4ifF5povM6A48
54,Under Pressure,Queen & David Bowie,1981,11IzgLRXV7Cgek3tEgGgjw
55,With Or Without You,U2,1987,6ADSaE87h8Y3lccZlBJdXH
56,Alive,Pearl Jam,1992,1L94M3KIu7QluZe63g64rv
57,One,U2,1992,3G69vJMWsX6ZohTykad2AU
58,Back To Black,Amy Winehouse,2007,30FURVTCpbKyykjSEQzGkH
59,God Only Knows,The Beach Boys,1966,6iGU74CwXuT4XVepjc9Emf
60,Killing In The Name,Rage Against The Machine,1992,59WN2psjkt1tyaxjspN8fp
61,Sunday Bloody Sunday,U2,1985,6C4LXC9UFH1IKiHYOp0BiJ
62,Mr. Blue Sky,Electric Light Orchestra,1978,2RlgNHKcydI9sayD2Df2xp
63,Sorry,Kensington,2016,07uuo1yEND3oinbFZnYOvx
64,Enter Sandman,Metallica,1991,5BIMPccDwShpXq784RJlJp
65,Sympathy For The Devil,The Rolling Stones,1973,1Ud6moTC0KyXMq1Oxfien0
66,Highway To Hell,AC/DC,1979,2zYzyRzz6pRmhPzyfMEC8s
67,Cold Little Heart,Michael Kiwanuka,2016,7KX65PC1UZuImsUInThbav
68,Dancing Queen,ABBA,1976,4NtUY5IGzHCaqfZemmAu56
69,Another Brick In The Wall,Pink Floyd,1979,4gMgiXfqyzZLMhsksGmbQV
70,Papa,Stef Bos,1991,6NP6BCW2M2I4vdcnXMAvjl
71,Fool's Overture,Supertramp,1977,5pSSEkT0963muzzIjsVkrs
72,Hey Jude,The Beatles,1968,0aym2LBJBk9DAYuHHutrIl
73,Pastorale,Ramses Shaffy & Liesbeth List,1969,2BUfuy4p88WKk3d49B1ayP
74,Who Wants To Live Forever,Queen,1986,00QAndVDVfNqNWYdWAhEan
75,Riders On The Storm,The Doors,1971,14XWXWv5FoCbFzLksawpEe
76,Old And Wise,The Alan Parsons Project,1982,5Jt2AQv1c3RUF5ENtAYF1i
77,Here Comes The Sun,The Beatles,1969,6dGnYIeXmHdcikdzNNDMm2
78,Under The Bridge,Red Hot Chili Peppers,1991,3d9DChrdc6BOeFsbrZ3Is0
79,Somebody To Love (Live),George Michael & Queen,1993,0c6gaX6Av1GfiXXqfq9Jox
80,Clocks,Coldplay,2003,0BCPKOYdS2jbQ8iyB56Zns
81,Whole Lotta Rosie,AC/DC,1978,4wYq5wugZDzQiMZQYG4wVB
82,Bridge Over Troubled Water,Simon & Garfunkel,1970,6l8EbYRtQMgKOyc1gcDHF9
83,Creep,Radiohead,1992,6b2oQwSGFkzsMtQruIWm2p
84,Deurdonderen (Live),Normaal,1982,6U7rlAukeYVphgDWLc1yk6
85,Master Of Puppets,Metallica,1986,54bm2e3tk8cliUz3VSdCPZ
86,Iron Sky,Paolo Nutini,2014,5EpP1lwkAnOAKbfAHUNJkI
87,Private Investigations,Dire Straits,1982,4JiJGjJXFQECKLJR5De7Pj
88,Oerend Hard,Normaal,1977,3d8KtuxdO6kba5qzRcbqlk
89,Angels,Robbie Williams,1998,7fH9ZS8gezOtky5bkYHvCN
90,Angie,The Rolling Stones,1973,1GcVa4jFySlun4jLSuMhiq
91,Tears In Heaven,Eric Clapton,1992,612VcBshQcy4mpB2utGc3H
92,Space Oddity,David Bowie,1969,72Z17vmmeQKAg8bptWvpVG
93,Laat Me,Ramses Shaffy,1978,6XzBlaRUFcps7zkKgZWh7E
94,Yesterday,The Beatles,1965,3BQHpFgAp4l80e1XslIjNI
95,Lose Yourself,Eminem,2002,5Z01UMMf7V1o0MzF86s6WJ
96,Dochters,Marco Borsato,2008,2y3lznWjrmXHD8rXEcfEhT
97,Jolene,Dolly Parton,1974,2SpEHTbUuebeLkgs9QB7Ue
98,Where The Streets Have No Name,U2,1987,4qgZs0RNjdzKAS22lP0QjY
99,(Sittin' On) The Dock Of The Bay,Otis Redding,1968,3zBhihYUHBmGd2bcQIobrF
100,Gimme Shelter,The Rolling Stones,1969,6H3kDe7CGoWYBabAeVWGiD
101,Goodnight Saigon,Billy Joel,1983,5bIwtIednTXz7BHnnoQN06
102,Chasing Cars,Snow Patrol,2006,11bD1JtSjlIgKgZG2134DZ
103,House Of The Rising Sun,Animals,1964,7BY005dacJkbO6EPiOh2wb
104,Blackbird,The Beatles,1968,5jgFfDIR6FR0gvlA56Nakr
105,Stil In Mij,Van Dik Hout,1994,3xOiF0xnt47PgOwprICudF
106,Killer Queen,Queen,1974,7GqWnsKhMtEW0nzki5o0d8
107,The Show Must Go On,Queen,1991,3hU637WcAGM5ubSqeaTme5
108,Het Regent Zonnestralen,Acda & De Munnik,1998,2LGL71GENQR0oC9jMwTTZY
109,Bitter Sweet Symphony,The Verve,1997,57iDDD9N9tTWe75x6qhStw
110,Uprising,Muse,2009,4VqPOruhp5EdPBeR92t6lQ
111,Suspicious Minds,Elvis Presley,1969,1H5IfYyIIAlgDX8zguUzns
112,Losing My Religion,R.E.M.,1991,31AOj9sFz2gM0O3hMARRBx
113,Kleine Jongen,André Hazes,1990,68Mk5sJwy5a6DyjGRTGGux
114,Belfast Child,Simple Minds,1989,0guW4g1Z0gJjkKxkIy7VR7
115,Zeg Me Dat Het Niet Zo Is,Frank Boeijen Groep,1990,5SO1xQrOt9JfiLsNmp2Ha8
116,The Pretender,Foo Fighters,2007,7x8dCjCr0x6x2lXKujYD34
117,Knights Of Cydonia,Muse,2006,7ouMYWpwJ422jRcDASZB7P
118,When The Lady Smiles,Golden Earring,1984,6RGmi17H0xpHb7hpMxFwip
119,Lola Montez,Volbeat,2013,1wnq9TwifJ9ipLUFsm8vKx
120,Wonderwall,Oasis,1995,5wj4E6IsrVtn8IBJQOd0Cl
121,I Still Haven't Found What I'm Looking For,U2,1987,1Jt3AC8MAqjoOYMWEj1r3N
122,Don't Stop Believin',Journey,1981,4bHsxqR3GMrXTxEPLuK5ue
