titel,artiest,jaar,id,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Bohemian Rhapsody,Queen,1975,7tFiyTwD0nx5a1eklYtX2J,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1
Hotel California,Eagles,1977,40riOy7x9W7GXjyGp4pjAv,2,4,3,3,2,2,3,3,3,2,2,1,2,2,2,1,3,2,2,2,2
Child In Time,Deep Purple,1972,5TrfusgKC1BYic5LaWCoKm,3,2,2,2,3,3,4,4,4,4,5,4,3,4,4,4,8,5,5,6,12
Stairway To Heaven,Led Zeppelin,1971,5CQ30WqJwcep0pYcV4AMNc,4,3,4,4,4,4,5,5,5,5,4,5,5,3,3,3,5,3,3,4,5
Paradise By The Dashboard Light,Meat Loaf,1978,2g7gviEeJr6pyxO7G35EWQ,5,5,5,5,5,6,6,7,10,6,12,9,11,19,22,17,30,27,27,29,35
Yesterday,Beatles,1965,3BQHpFgAp4l80e1XslIjNI,6,8,24,30,34,37,46,39,32,28,44,33,50,85,76,89,96,97,87,122,94
Imagine,John Lennon,1971,7pKfPomDEeI4TPT6EOYjn9,7,7,11,11,13,9,15,15,41,15,41,26,28,22,23,38,1,12,16,16,29
Angie,Rolling Stones,1973,1GcVa4jFySlun4jLSuMhiq,8,9,22,12,10,13,18,21,45,20,36,35,41,26,46,54,77,78,70,79,90
Bridge Over Troubled Water,Simon & Garfunkel,1970,6l8EbYRtQMgKOyc1gcDHF9,9,27,17,32,32,45,42,43,66,43,39,32,33,38,38,48,59,52,58,61,82
A Whiter Shade Of Pale,Procol Harum,1967,78ZqE2tjAxbqEGGlvGnQfT,10,18,23,20,22,28,22,25,47,26,50,42,65,61,83,98,105,119,117,153,162
Hey Jude,Beatles,1968,0aym2LBJBk9DAYuHHutrIl,11,6,9,15,18,18,14,22,18,16,23,24,24,33,45,58,48,39,61,70,72
Riders On The Storm,Doors,1971,14XWXWv5FoCbFzLksawpEe,12,14,12,10,12,16,24,26,33,22,26,27,23,32,30,40,49,46,49,58,75
House Of The Rising Sun,Animals,1964,7BY005dacJkbO6EPiOh2wb,13,12,6,6,7,8,8,12,7,7,29,18,25,51,55,78,84,71,77,86,103
Goodnight Saigon,Billy Joel,1983,5bIwtIednTXz7BHnnoQN06,14,11,8,18,25,22,34,51,38,32,53,38,62,80,90,83,79,77,81,93,101
Nights In White Satin,Moody Blues,1968,6L5BZEcZmD6RBJnimzlyKr,15,25,29,23,28,33,35,23,50,31,42,41,45,65,68,76,102,122,124,111,128
Dancing Queen,ABBA,1976,4NtUY5IGzHCaqfZemmAu56,16,30,28,41,46,42,36,49,29,37,70,68,88,111,160,127,155,131,92,67,68
Another Brick In The Wall,Pink Floyd,1979,4gMgiXfqyzZLMhsksGmbQV,17,20,20,26,39,32,52,46,86,45,56,47,53,39,48,56,72,66,90,54,69
Sunday Bloody Sunday,U2,1985,6C4LXC9UFH1IKiHYOp0BiJ,18,13,31,24,37,29,39,41,65,41,57,55,66,55,62,62,57,49,47,69,61
Music,John Miles,1976,711BHJ4nErw7nPt3O5cP0z,19,39,32,37,36,67,75,65,76,56,111,122,123,113,129,116,135,170,187,209,205
Sultans Of Swing,Dire Straits,1978,6cr6UDpkjEaMQ80OjWqEBQ,20,16,10,16,15,27,28,27,28,23,32,25,30,28,21,27,25,26,26,20,26
Tears In Heaven,Eric Clapton,1992,612VcBshQcy4mpB2utGc3H,21,31,35,34,43,40,41,44,46,36,60,50,44,77,65,73,83,83,75,78,91
(I Can't Get No) Satisfaction,Rolling Stones,1965,2PzU4IB8Dr6mxV3lHuaG34,22,46,102,75,81,82,123,122,164,116,157,181,216,93,225,238,236,294,305,304,284
Radar Love,Golden Earring,1973,4Zau4QvgyxWiWQ5KQrwL43,23,21,21,27,27,12,13,16,23,17,24,16,18,18,24,26,31,22,21,27,23
Old And Wise,Alan Parsons Project,1982,5Jt2AQv1c3RUF5ENtAYF1i,24,28,13,8,9,11,9,11,9,8,18,10,20,21,31,28,37,37,35,65,76
Losing My Religion,R.E.M.,1991,31AOj9sFz2gM0O3hMARRBx,25,15,37,42,33,46,76,79,132,60,67,83,68,118,111,126,112,80,73,84,112
School,Supertramp,1974,6fnachl7fIn5dqIjakfJ57,26,17,16,14,21,34,37,36,52,33,46,44,37,35,37,41,52,48,44,44,41
Let It Be,Beatles,1970,7iN1s7xHE4ifF5povM6A48,27,37,40,47,23,41,55,58,57,49,54,46,56,52,39,50,51,68,79,53,53
Brothers In Arms,Dire Straits,1985,26tWBbtjvgi0tipRL2VQ2X,28,22,7,9,11,15,19,20,19,13,21,19,15,11,11,14,15,19,17,15,17
Sympathy For The Devil,Rolling Stones,1973,1Ud6moTC0KyXMq1Oxfien0,29,34,44,28,14,26,38,45,59,38,43,43,46,50,35,37,46,60,51,49,65
Who Wants To Live Forever,Queen,1986,00QAndVDVfNqNWYdWAhEan,30,23,34,22,45,50,74,74,120,62,77,87,94,134,100,100,99,86,107,74,74
Everybody Hurts,R.E.M.,1993,6PypGyiu0Y2lCDBN1XZEnP,31,,50,61,58,61,58,66,99,68,76,66,59,101,122,138,138,140,144,166,181
Over De Muur,Klein Orkest,1984,2jV28FCpmVQNbgcC5a5D7A,32,38,54,50,59,56,48,47,64,52,47,56,83,71,84,60,76,81,45,60,30
Paint It Black,Rolling Stones,1966,63T7DJ1AFDD6Bn8VzG6JE8,33,48,62,60,54,54,68,57,107,63,65,63,82,43,49,57,50,61,67,48,47
